restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Chow Me Up,Restaurant,"Chinese,Asian,Thai",3.8,500,Malad West,Mumbai
Beyond Temptation,Restaurant,"Cafe,Fast Food,Ice Cream",3.8,350,Naupada-- Thane West,Mumbai
Food Destination,Restaurant,"Chinese,North Indian,Thai",3.5,700,Kopar Khairane,Mumbai
Nayana Chinese Centre,Restaurant,"Chinese,North Indian",3.4,300,Kharghar,Mumbai
Farm House Cafe,Restaurant,"North Indian,Chinese,Maharashtrian",3.6,700,Marol,Mumbai
The - Dining Space & Bar,Restaurant,"North Indian,Chinese,Lebanese,Continental,Thai,Mexican",3.6,1000,Kalamboli,Mumbai
MCC World,Restaurant,Fast Food,3.6,200,Nalasopara,Mumbai
Biryani & Beyond,Restaurant,"North Indian,Mughlai",3.3,700,Kharghar,Mumbai
Extra Innings,Restaurant,Fast Food,3.9,300,Malad West,Mumbai
Tapri Shapri,Restaurant,"Chinese,Sandwich,Fast Food,Tea",3.8,400,Andheri Lokhandwala-- Andheri West,Mumbai
Shyam Sandwich,Restaurant,"Sandwich,Fast Food",3.3,150,Kandivali West,Mumbai
Kake Di Rasoi,Restaurant,"North Indian,Chinese",3.6,800,Malad West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Pizzas & More,Restaurant,"Pizza,Fast Food",3.0,400,Vikhroli,Mumbai
Pappasta Cafe,Restaurant,"Fast Food,Pizza",3.5,400,Girgaum,Mumbai
Status,Restaurant,"North Indian,Mughlai,Chinese",3.4,1000,Vasai,Mumbai
Hotel Dwarka,Restaurant,"North Indian,South Indian,Chinese,Juices",-,400,Vasai,Mumbai
Maya's Kitchen,Restaurant,"Chinese,North Indian",3.5,300,Vasant Vihar-- Thane West,Mumbai
Sonu’s Koliwada Fish Fry And Dhaba,Restaurant,"Seafood,North Indian",3.3,500,Sanpada,Mumbai
Talha Shawarma Corner,Restaurant,"Lebanese,Rolls",3.6,300,Chakala,Mumbai
Tawa n Wok,Restaurant,"Chinese,North Indian",3.9,450,Mira Road,Mumbai
Shri Krish Corner,Restaurant,"Fast Food,North Indian,Chinese",3.4,700,Kasarvadavli-- Thane West,Mumbai
Burger Culture,Restaurant,"Fast Food,Burger",NEW,250,Hill Road-- Bandra West,Mumbai
Hrishi's Food Court,Restaurant,"Fast Food,Beverages",NEW,400,Hiranandani Estate-- Thane West,Mumbai
Mughal Darbar,Restaurant,"North Indian,Mughlai,Chinese",3.1,500,Jogeshwari,Mumbai
Just Beat It,Restaurant,"Bakery,Desserts",3.6,500,Chembur,Mumbai
Shyam Sandwich,Restaurant,"Sandwich,Fast Food",3.3,150,Kandivali West,Mumbai
Mandarin House,Restaurant,"Chinese,Asian",3.8,500,Santacruz West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
The Churro Co.,Restaurant,Beverages,3.5,400,Infiniti Mall-- Malad West,Mumbai
Home Chef,Restaurant,"North Indian,South Indian,Chinese",2.5,350,CBD-Belapur,Mumbai
Mumbai Treats,Restaurant,"Fast Food,Street Food,Beverages",4.2,600,Ghodbunder Road,Mumbai
The Tetrad Cafe,Restaurant,"Fast Food,Beverages",3.8,500,Goregaon West,Mumbai
Sridevi Veg Restaurant,Restaurant,"North Indian,Chinese,South Indian,Fast Food",3.4,550,Santacruz West,Mumbai
Flavours,Restaurant,"Chinese,North Indian",3.4,400,Chembur,Mumbai
Sams Kitchen,Restaurant,"North Indian,Mughlai,Chinese",-,500,Kasarvadavli-- Thane West,Mumbai
Blisss,Restaurant,"Bakery,Fast Food,Desserts",3.7,400,Chembur,Mumbai
The Brocode Kitchen,Restaurant,"Fast Food,Chinese",3.1,400,Sion,Mumbai
S P Burger,Restaurant,Fast Food,3.6,200,Chembur,Mumbai
Ku Kuch Ku Center,Restaurant,"Maharashtrian,Malwani",3.2,300,Dombivali East,Mumbai
Taste Of Ganges,Restaurant,"Bengali,Biryani,North Indian,Chinese,Mughlai",2.5,550,Goregaon East,Mumbai
PUBG Cafe,Restaurant,"Cafe,Italian,Burger",3.1,600,Vasai,Mumbai
Modern's China Kitchen,Restaurant,Chinese,3.6,750,Dombivali East,Mumbai
Fill n Chill,Restaurant,"North Indian,Chinese",3.3,500,Mira Road,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Cafe Choco Craze,Restaurant,"South Indian,Fast Food,Desserts,Beverages",NEW,200,Nalasopara,Mumbai
Pit Stop Diner,Restaurant,"American,Fast Food,Pizza,Continental,Chinese",3.5,700,Versova-- Andheri West,Mumbai
MCC World,Restaurant,Fast Food,3.6,200,Nalasopara,Mumbai
Atithi Fine Dine,Restaurant,"North Indian,Mughlai,Chinese,Thai,Seafood",3.8,1200,Mulund West,Mumbai
Squares Pizza And Cafe,Restaurant,Pizza,3.7,550,Malad West,Mumbai
Gokul Veg World,Restaurant,"North Indian,Chinese,South Indian,Fast Food,Beverages,Desserts",3.3,500,Virar,Mumbai
Cherry's Kitchen,Restaurant,"Kerala,Chinese",3.1,550,Malad West,Mumbai
Kake Di Rasoi,Restaurant,"North Indian,Chinese",3.6,800,Malad West,Mumbai
VJ'S Juices And Snacks,Restaurant,"Juices,Sandwich,Desserts",3.4,100,Kurla,Mumbai
JS Burgers,Restaurant,"Burger,Pizza,Wraps",3.3,150,Chembur,Mumbai
Room Service,Restaurant,"North Indian,Italian,Sandwich",3.4,300,Chembur,Mumbai
La Pizza,Restaurant,"Italian,Pizza,Salad,Fast Food,Continental",3.5,700,Oshiwara-- Andheri West,Mumbai
Lazzat Fast Food,Restaurant,"Chinese,Mughlai",3.6,650,Mira Road,Mumbai
Waffle Factory,Restaurant,Desserts,-,100,Dahisar West,Mumbai
The Lemon Grass,Restaurant,"North Indian,Chinese",3.1,400,Vasai,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Grill N Rollz,Restaurant,"Rolls,North Indian",NEW,300,Malad West,Mumbai
Tiffin Express,Restaurant,North Indian,NEW,200,Parel,Mumbai
Whaatsup Foods Kebab Corner,Restaurant,"North Indian,Chinese",NEW,350,Vile Parle East,Mumbai
Nidhi Bar & Restaurant,Restaurant,"North Indian,Chinese,Fast Food,Biryani",3.1,500,Wagle Estate-- Thane West,Mumbai
Hotel Utsav Family Resto Bar,Restaurant,"North Indian,South Indian,Chinese",2.8,400,New Panvel,Mumbai
Akansha zunka bhakar,Restaurant,"Chinese,North Indian",2.9,400,Vikhroli,Mumbai
THC,Restaurant,"Mexican,Burger,Desserts,Beverages,Salad,Tex-Mex",3.6,700,Marol,Mumbai
Nice Kream,Restaurant,"Ice Cream,Desserts",3.6,350,Kemps Corner,Mumbai
Sheetal Bar & Restaurant,Restaurant,"North Indian,Chinese",3.2,700,Vashi,Mumbai
SP Dhaba,Restaurant,"North Indian,South Indian,Chinese",3.2,850,Vasai,Mumbai
Shree Ram,Restaurant,"North Indian,Chinese,Fast Food",3.3,500,Girgaum,Mumbai
Celebrations Hotel,Restaurant,"North Indian,Chinese",3.3,700,Ulhasnagar,Mumbai
Max Food Court,Restaurant,"Parsi,Mughlai,North Indian",NEW,550,Near Andheri East Station,Mumbai
Khichdie,Restaurant,North Indian,NEW,500,Chandivali,Mumbai
Amrut Restaurant & Bar,Restaurant,"Chinese,North Indian,Seafood",3.5,550,Powai,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Taste of Maratha,Restaurant,"Malwani,Seafood,North Indian,Chinese",3.2,600,Dahisar East,Mumbai
Jay Malhar Dhaba,Restaurant,Chinese,3.0,250,Kalyan,Mumbai
Azad Hindu Restaurant,Restaurant,"Chinese,North Indian,Seafood",3.3,500,Mulund East,Mumbai
Heem Sagar,Restaurant,"Chinese,North Indian,South Indian",3.4,550,Borivali West,Mumbai
Shapur,Restaurant,"Chinese,North Indian",2.7,250,Mazgaon,Mumbai
Sagar Restaurant & Bar,Restaurant,"North Indian,Chinese,Mughlai,Seafood",2.8,700,Goregaon West,Mumbai
Cafe Noor,Restaurant,"North Indian,Chinese",3.1,500,Jogeshwari,Mumbai
Cafe Himalaya,Restaurant,"Chinese,North Indian,Biryani",3.1,500,Jogeshwari,Mumbai
Highway Bar & Restaurant,Restaurant,"Chinese,North Indian,Seafood,South Indian",2.9,450,Goregaon East,Mumbai
Janta Family Restaurant,Restaurant,"Chinese,North Indian,South Indian,Seafood",2.7,450,Kandivali East,Mumbai
Chakra,Restaurant,"North Indian,Chinese,Seafood,Fast Food",2.6,600,Goregaon East,Mumbai
Dream Residency,Restaurant,"North Indian,Seafood,Chinese,Malwani",3.5,800,Mulund West,Mumbai
Right Choice Restaurant & Bar,Restaurant,"North Indian,Chinese",3.3,700,Dahisar West,Mumbai
Hotel Swagat,Restaurant,"North Indian,Chinese",3.5,500,Wadala,Mumbai
Sanju Ice Cream,Restaurant,"Desserts,Beverages",3.2,150,Kandivali West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Flavours - 1,Restaurant,Chinese,3.2,700,Malad West,Mumbai
Night Veg Vrindavan,Restaurant,"North Indian,Chinese",2.8,500,Near Andheri West Station,Mumbai
China Suburb-1,Restaurant,"Chinese,North Indian",3.1,700,4 Bungalows,Mumbai
Baba Bar & Restaurant,Restaurant,"North Indian,Chinese,Malwani",3.4,500,Ghatkopar West,Mumbai
Swastik Restaurant & Bar,Restaurant,"Mughlai,North Indian,Chinese",3.2,400,Chembur,Mumbai
Lalit Family Restaurant & Bar,Restaurant,"Chinese,North Indian",2.9,550,Kandivali East,Mumbai
Satkar Bar & Restaurant,Restaurant,"North Indian,Mughlai,Chinese,South Indian",3.3,550,Ghatkopar East,Mumbai
Krishna Lunch Home,Restaurant,"North Indian,Chinese,South Indian,Seafood",3.4,550,Chembur,Mumbai
Rasika Restaurant & Bar,Restaurant,"Chinese,North Indian",3.2,500,Ghatkopar East,Mumbai
Swarajya Lunch Home,Restaurant,"North Indian,Chinese,Malwani",2.9,500,Dadar West,Mumbai
Sandhya Restaurant & Bar,Restaurant,"North Indian,Chinese",3.1,900,Kandivali West,Mumbai
Oven Crust,Restaurant,"Italian,Fast Food,Pizza,Desserts,Beverages",3.5,450,Oshiwara-- Andheri West,Mumbai
Panda Xpress - Taste of Asia,Restaurant,Chinese,3.5,400,Andheri Lokhandwala-- Andheri West,Mumbai
Vinanjay,Restaurant,"Chinese,South Indian,North Indian,Mughlai",2.8,600,Santacruz East,Mumbai
Spices Kitchen,Restaurant,"Chinese,North Indian,Mughlai,Seafood",3.3,600,Kurla,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Nandu Chinese And Tandoori Corner,Restaurant,Chinese,3.2,400,Kalwa,Mumbai
Amantran Kitchen & Bar,Restaurant,"North Indian,Mughlai,Malwani,Mangalorean,Chinese",3.2,800,New Panvel,Mumbai
Chetan Punjab,Restaurant,"North Indian,Chinese,Seafood,Mughlai",3.2,550,Santacruz East,Mumbai
Hotel Fountain,Restaurant,"Chinese,North Indian",3.1,550,Mumbra,Mumbai
Classic Restaurant & Bar,Restaurant,"North Indian,Chinese,Seafood",3.2,500,Kopar Khairane,Mumbai
Global Malvani,Restaurant,"Malwani,Biryani,South Indian,Konkan,North Indian",2.5,700,Andheri Lokhandwala-- Andheri West,Mumbai
North East Kitchen,Restaurant,"Healthy Food,North Eastern,Chinese,Thai",3.0,500,4 Bungalows,Mumbai
Jassi Da Paratha,Restaurant,North Indian,2.6,300,Mahakali,Mumbai
Starters & Tandoori,Restaurant,"North Indian,Chinese",2.8,500,Mahakali,Mumbai
Ekveera Dhaba,Restaurant,North Indian,2.9,300,Dombivali East,Mumbai
Jai Malhar,Restaurant,Fast Food,3.3,400,Girgaum,Mumbai
Chilli Pistols,Restaurant,"Chinese,Mughlai",3.4,300,Malad West,Mumbai
Pop-Up Hut,Restaurant,Desserts,3.6,200,Kemps Corner,Mumbai
Sai Pride,Restaurant,"Chinese,North Indian",-,450,Mira Road,Mumbai
Gopal Krishna Hotel,Restaurant,"North Indian,Chinese",-,250,Jogeshwari,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Hotel Sairaj,Restaurant,"North Indian,Chinese,Seafood,Konkan,Street Food,Biryani",3.4,650,Mira Road,Mumbai
Shubham Restaurant & Bar,Restaurant,"North Indian,Chinese,Mughlai,Malwani",3.4,750,Mira Road,Mumbai
Jyoti Bar & Restaurant,Restaurant,"North Indian,Chinese,Seafood",3.2,500,Marine Lines,Mumbai
Pop-Up Hut,Restaurant,Desserts,3.6,200,Kemps Corner,Mumbai
Eqvity,Restaurant,"North Indian,Chinese,Mughlai,Seafood",3.4,700,Bhayandar,Mumbai
Royal Garden Sai Datta Hotel,Restaurant,"North Indian,Chinese",3.4,600,Mira Road,Mumbai
Shivali Garden,Restaurant,"Chinese,North Indian",2.9,500,Mira Road,Mumbai
Hotel Sandeep Family Restaurant & Bar,Restaurant,"North Indian,Chinese,Seafood",3.4,700,Kalyan,Mumbai
Fusion Multicuisine Restaurant,Restaurant,"North Indian,Chinese,Continental,Mangalorean",3.5,950,Majiwada-- Thane West,Mumbai
Nityanand Family Restaurant & Bar,Restaurant,"Fast Food,North Indian,Chinese",3.3,400,Manpada-- Thane West,Mumbai
Vinbro Restaurant & Bar,Restaurant,"North Indian,Chinese",3.3,650,Vashi,Mumbai
Vishal Bar & Restaurant,Restaurant,"North Indian,Chinese,Biryani",3.4,600,Kalyan,Mumbai
Guru Prasad,Restaurant,"North Indian,Chinese",3.5,1100,Kandivali East,Mumbai
Royal Treat,Restaurant,"North Indian,Chinese",3.4,900,Mira Road,Mumbai
Bluet - More Than A Café,Restaurant,"North Indian,Italian,Pizza,Seafood,Desserts",2.8,900,Hotel Sahil-- Mumbai Central,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Fusion Multicuisine Restaurant,Restaurant,"North Indian,Chinese,Continental,Mangalorean",3.5,950,Majiwada-- Thane West,Mumbai
Nityanand Family Restaurant & Bar,Restaurant,"Fast Food,North Indian,Chinese",3.3,400,Manpada-- Thane West,Mumbai
Vinbro Restaurant & Bar,Restaurant,"North Indian,Chinese",3.3,650,Vashi,Mumbai
Milan Punjab,Restaurant,"North Indian,Mangalorean,Seafood,Chinese",2.9,600,Near Andheri East Station,Mumbai
Amrut Punjab,Restaurant,"North Indian,Chinese,Seafood",3.7,600,Mumbai Central,Mumbai
Asha Bar & Restaurant,Restaurant,"Chinese,North Indian,Konkan",3.3,500,Borivali East,Mumbai
INDULGE by InnerChef,Restaurant,"Desserts,Bakery",3.6,400,Malad West,Mumbai
Laddu Seth Hotel,Restaurant,"North Indian,Fast Food,Chinese,South Indian",3.5,450,Near Andheri West Station,Mumbai
Frank You Express,Restaurant,"Cafe,Mexican,Italian",2.8,600,Pali Hill-- Bandra West,Mumbai
Natural Fresh Icecream,Restaurant,"Desserts,Ice Cream",3.6,350,Dombivali East,Mumbai
YumYumDilli,Restaurant,"North Indian,Desserts,Beverages",3.7,500,Oshiwara-- Andheri West,Mumbai
Masala Wok,Restaurant,"North Indian,Chinese",3.5,400,Goregaon West,Mumbai
Pippo Food Service,Restaurant,"Desserts,Chinese",3.4,200,Ghatkopar East,Mumbai
Try Once,Restaurant,"North Indian,Chinese",2.9,500,Near Andheri West Station,Mumbai
Sai Krupa,Restaurant,"South Indian,North Indian,Chinese,Fast Food",3.2,200,Malad East,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
China Gate,Restaurant,"Chinese,Thai,Continental",3.9,1800,Andheri Lokhandwala-- Andheri West,Mumbai
Peppr Pinch,Restaurant,"Mughlai,North Indian,Lebanese,Chinese,Fast Food",4.0,800,7 Bungalows-- Andheri West,Mumbai
FoodsApp,Restaurant,"Fast Food,Pizza,Burger,Lebanese",3.6,250,Jogeshwari,Mumbai
Jade Raven Family Restro & Bar,Restaurant,"Chinese,Mughlai,Continental,Seafood",4.0,1000,Panch Pakhadi-- Thane West,Mumbai
Deluxe Corner,Restaurant,"North Indian,Chinese",NEW,300,Sion,Mumbai
Mahalaxmi Services Juice Centre,Restaurant,"Juices,Beverages",NEW,150,Mahalaxmi,Mumbai
Splitsvilla Bar & Lounge,Restaurant,"Chinese,Italian,Continental",3.9,1000,Chembur,Mumbai
The Hungry Pirates Chinese Cuisine,Restaurant,"Chinese,Momos",4.1,550,Mulund West,Mumbai
Sarovar Pure Veg,Restaurant,"South Indian,North Indian,Chinese,Fast Food",3.7,600,Kandivali West,Mumbai
Hungerzaade,Restaurant,"Chinese,Fast Food,Rolls,Street Food",4.0,250,Dahisar West,Mumbai
Jade Buddha's Pub n Kitchen,Restaurant,"Asian,Chinese,Japanese,Sri Lankan,Singaporean,Malaysian,Indonesian",4.4,1500,CBD-Belapur,Mumbai
The Public Co.,Restaurant,"Continental,Asian,Beverages,American",4.0,1300,Vashi,Mumbai
Vilayati,Restaurant,European,NEW,1200,Vashi,Mumbai
Belovi De Café,Restaurant,"Cafe,Beverages,Healthy Food",3.6,600,Andheri Lokhandwala-- Andheri West,Mumbai
Cafe Alif,Restaurant,"Chinese,North Indian,Mughlai,Seafood,Biryani",4.0,550,Jogeshwari,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Desitarian,Restaurant,"North Indian,Biryani,Chinese,Afghan",3.9,400,Oshiwara-- Andheri West,Mumbai
Monkey King,Restaurant,"North Indian,Chinese,Mughlai",4.3,500,4 Bungalows,Mumbai
Foreign Café,Restaurant,"American,Italian,Continental,North Indian,South Indian,Mediterranean,Lebanese,Desserts",3.5,650,Chandivali,Mumbai
Vishal Bar & Restaurant,Restaurant,"North Indian,Chinese,Biryani",3.4,600,Kalyan,Mumbai
Order Order,Restaurant,"Fast Food,Italian",4.1,400,Malad West,Mumbai
Global Fine Dine,Restaurant,"Chinese,Mughlai,Malwani,North Indian",2.9,800,Kharghar,Mumbai
Sethi's,Restaurant,"North Indian,Hyderabadi",-,500,Kharghar,Mumbai
Hotel 7 Star,Restaurant,"North Indian,Mughlai,Seafood,Fast Food,Chinese,Beverages,Ice Cream",3.2,700,Nerul,Mumbai
Cool Spot,Restaurant,"Ice Cream,Beverages",2.9,200,Malad West,Mumbai
Curry Theory,Restaurant,"North Indian,Chinese",-,600,Fort,Mumbai
Navab's,Restaurant,Mughlai,-,600,Chembur,Mumbai
Shakes N Snacks,Restaurant,"Beverages,Fast Food",3.0,400,Kurla,Mumbai
Hungers Corner,Restaurant,Chinese,3.1,250,Airoli,Mumbai
Diwan Khaana,Restaurant,"Chinese,North Indian",Opening,700,Vashi,Mumbai
T F Cakes,Restaurant,"Bakery,Desserts",-,300,Ghatkopar West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
M'spice,Restaurant,Chinese,3.0,350,Byculla,Mumbai
Togo - Try One Get One,Restaurant,"North Indian,Chinese",NEW,600,Goregaon West,Mumbai
Shawarma Authentic,Restaurant,"Rolls,Burger,Pizza,Fast Food,Beverages",2.8,300,Goregaon West,Mumbai
New York Chicken Rice Co,Restaurant,American,-,400,Andheri Lokhandwala-- Andheri West,Mumbai
Chaap & Momos,Restaurant,"Street Food,Momos",2.4,400,Powai,Mumbai
Gib's Kitchen,Restaurant,Chinese,2.8,450,Mira Road,Mumbai
Online Chachu,Restaurant,"Fast Food,Pizza,Rolls,Chinese,Beverages",2.9,300,Girgaum,Mumbai
Bluet - More Than A Café,Restaurant,"North Indian,Italian,Pizza,Seafood,Desserts",2.8,900,Hotel Sahil-- Mumbai Central,Mumbai
Let's Eat,Restaurant,"Italian,Pizza,Burger,Fast Food",3.3,150,Lower Parel,Mumbai
Mumbai Dhaba,Restaurant,"Chinese,North Indian",-,800,Near Andheri West Station,Mumbai
Noodle Bistro,Restaurant,Chinese,-,500,Kharghar,Mumbai
Nityanand,Restaurant,"Chinese,North Indian",3.7,450,Kandivali West,Mumbai
Bread Bites,Restaurant,"Fast Food,Beverages",NEW,400,Chandivali,Mumbai
Desi Box,Restaurant,"North Indian,Biryani,Rolls",-,400,Upvan-- Thane West,Mumbai
Creamy Heaven,Restaurant,Ice Cream,3.7,200,Mulund West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Chatpata Kitchen,Restaurant,"Rolls,Fast Food",3.2,200,Parel,Mumbai
Parleshwar VadaPav Samrat,Restaurant,Fast Food,3.2,100,Vile Parle East,Mumbai
Royal Sea Food,Restaurant,"Seafood,North Indian",3.3,500,Dombivali East,Mumbai
Taste Of Nawab,Restaurant,North Indian,NEW,400,Malad East,Mumbai
Mr.Egg,Restaurant,"South Indian,North Indian,Chinese,Fast Food",3.3,150,Kopar Khairane,Mumbai
Sawantwadi Lunch Home,Restaurant,"North Indian,Seafood",3.5,450,Lower Parel,Mumbai
Wine N Dine,Restaurant,"Seafood,North Indian,Chinese,Mughlai",3.3,800,Owale-- Thane West,Mumbai
Family Point Restaurant & Bar,Restaurant,"North Indian,Mughlai,Chinese,Seafood,Beverages",3.0,550,Bhayandar,Mumbai
Hungry Stomach,Restaurant,Chinese,3.6,300,Mumbra,Mumbai
Pooja Snacks Bar,Restaurant,"South Indian,Street Food",3.4,300,Naupada-- Thane West,Mumbai
